,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,1
3,2020-03-09,1
4,2020-03-10,1
5,2020-03-11,1
6,2020-03-12,1
7,2020-03-13,1
8,2020-03-14,1
9,2020-03-15,1
10,2020-03-16,1
11,2020-03-17,1
12,2020-03-18,1
13,2020-03-19,1
14,2020-03-20,9
15,2020-03-21,16
16,2020-03-22,16
17,2020-03-23,18
18,2020-03-24,20
19,2020-03-25,23
20,2020-03-26,23
21,2020-03-27,25
22,2020-03-28,25
23,2020-03-29,25
24,2020-03-30,30
25,2020-03-31,34
26,2020-04-01,36
27,2020-04-02,39
28,2020-04-03,40
29,2020-04-04,41
30,2020-04-05,44
31,2020-04-06,58
32,2020-04-07,65
33,2020-04-08,70
34,2020-04-09,73
35,2020-04-10,76
36,2020-04-11,76
37,2020-04-12,76
38,2020-04-13,77
39,2020-04-14,77
40,2020-04-15,81
41,2020-04-16,81
42,2020-04-17,83
43,2020-04-18,84
44,2020-04-19,84
45,2020-04-20,84
46,2020-04-21,86
47,2020-04-22,88
48,2020-04-23,88
49,2020-04-24,90
50,2020-04-25,96
51,2020-04-26,98
52,2020-04-27,98
53,2020-04-28,99
54,2020-04-29,109
55,2020-04-30,116
56,2020-05-01,123
57,2020-05-02,123
58,2020-05-03,124
59,2020-05-04,126
60,2020-05-05,128
61,2020-05-06,128
62,2020-05-07,135
63,2020-05-08,145
64,2020-05-09,153
65,2020-05-10,174
66,2020-05-11,181
67,2020-05-12,199
68,2020-05-13,219
69,2020-05-14,238
70,2020-05-15,263
71,2020-05-16,298
72,2020-05-17,301
73,2020-05-18,330
74,2020-05-19,338
75,2020-05-20,340
76,2020-05-21,354
77,2020-05-22,363
78,2020-05-23,373
79,2020-05-24,381
80,2020-05-25,386
81,2020-05-26,391
82,2020-05-27,395
83,2020-05-28,422
84,2020-05-29,428
85,2020-05-30,433
86,2020-05-31,442
87,2020-06-01,443
88,2020-06-02,445
89,2020-06-03,452
90,2020-06-04,465
91,2020-06-05,485
92,2020-06-06,487
93,2020-06-07,495
94,2020-06-08,497
95,2020-06-09,501
96,2020-06-10,522
97,2020-06-11,524
98,2020-06-12,525
99,2020-06-13,530
100,2020-06-14,530
101,2020-06-15,531
102,2020-06-16,537
103,2020-06-17,544
104,2020-06-18,547
105,2020-06-19,555
106,2020-06-20,561
107,2020-06-21,569
108,2020-06-22,569
109,2020-06-23,576
110,2020-06-24,583
111,2020-06-25,588
112,2020-06-26,591
113,2020-06-27,615
114,2020-06-28,642
115,2020-06-29,643
116,2020-06-30,650
117,2020-07-01,661
118,2020-07-02,667
119,2020-07-03,671
120,2020-07-04,676
121,2020-07-05,680
122,2020-07-06,680
123,2020-07-07,689
124,2020-07-08,695
125,2020-07-09,704
126,2020-07-10,710
127,2020-07-11,710
128,2020-07-12,720
129,2020-07-13,721
130,2020-07-14,731
131,2020-07-15,740
132,2020-07-16,749
133,2020-07-17,766
134,2020-07-18,774
135,2020-07-19,778
136,2020-07-20,783
137,2020-07-21,790
138,2020-07-22,806
139,2020-07-23,828
140,2020-07-24,839
141,2020-07-25,853
142,2020-07-26,868
143,2020-07-27,874
144,2020-07-28,896
145,2020-07-29,896
146,2020-07-30,908
147,2020-07-31,941
148,2020-08-01,958
149,2020-08-02,961
150,2020-08-03,976
151,2020-08-04,988
152,2020-08-05,1001
153,2020-08-06,1012
