,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,1
3,2020-03-09,1
4,2020-03-10,1
5,2020-03-11,1
6,2020-03-12,1
7,2020-03-13,1
8,2020-03-14,1
9,2020-03-15,1
10,2020-03-16,1
11,2020-03-17,1
12,2020-03-18,1
13,2020-03-19,1
14,2020-03-20,2
15,2020-03-21,2
16,2020-03-22,2
17,2020-03-23,2
18,2020-03-24,2
19,2020-03-25,2
20,2020-03-26,2
21,2020-03-27,3
22,2020-03-28,3
23,2020-03-29,4
24,2020-03-30,4
25,2020-03-31,4
26,2020-04-01,4
27,2020-04-02,5
28,2020-04-03,5
29,2020-04-04,5
30,2020-04-05,5
31,2020-04-06,5
32,2020-04-07,5
33,2020-04-08,5
34,2020-04-09,5
35,2020-04-10,5
36,2020-04-11,5
37,2020-04-12,5
38,2020-04-13,5
39,2020-04-14,5
40,2020-04-15,5
41,2020-04-16,5
42,2020-04-17,5
43,2020-04-18,5
44,2020-04-19,5
45,2020-04-20,5
46,2020-04-21,6
47,2020-04-22,6
48,2020-04-23,7
49,2020-04-24,7
50,2020-04-25,7
51,2020-04-26,7
52,2020-04-27,7
53,2020-04-28,7
54,2020-04-29,7
55,2020-04-30,7
56,2020-05-01,7
57,2020-05-02,7
58,2020-05-03,7
59,2020-05-04,7
60,2020-05-05,7
61,2020-05-06,7
62,2020-05-07,7
63,2020-05-08,7
64,2020-05-09,7
65,2020-05-10,7
66,2020-05-11,9
67,2020-05-12,11
68,2020-05-13,15
69,2020-05-14,20
70,2020-05-15,21
71,2020-05-16,21
72,2020-05-17,21
73,2020-05-18,21
74,2020-05-19,21
75,2020-05-20,21
76,2020-05-21,21
77,2020-05-22,21
78,2020-05-23,24
79,2020-05-24,24
80,2020-05-25,27
81,2020-05-26,27
82,2020-05-27,28
83,2020-05-28,31
84,2020-05-29,31
85,2020-05-30,33
86,2020-05-31,43
87,2020-06-01,43
88,2020-06-02,47
89,2020-06-03,47
90,2020-06-04,47
91,2020-06-05,48
92,2020-06-06,48
93,2020-06-07,59
94,2020-06-08,59
95,2020-06-09,59
96,2020-06-10,59
97,2020-06-11,62
98,2020-06-12,62
99,2020-06-13,66
100,2020-06-14,66
101,2020-06-15,67
102,2020-06-16,67
103,2020-06-17,67
104,2020-06-18,67
105,2020-06-19,68
106,2020-06-20,68
107,2020-06-21,68
108,2020-06-22,68
109,2020-06-23,70
110,2020-06-24,70
111,2020-06-25,70
112,2020-06-26,70
113,2020-06-27,75
114,2020-06-28,76
115,2020-06-29,77
116,2020-06-30,77
117,2020-07-01,77
118,2020-07-02,77
119,2020-07-03,77
120,2020-07-04,78
121,2020-07-05,80
122,2020-07-06,80
123,2020-07-07,80
124,2020-07-08,80
125,2020-07-09,80
126,2020-07-10,80
127,2020-07-11,82
128,2020-07-12,84
129,2020-07-13,84
130,2020-07-14,84
131,2020-07-15,84
132,2020-07-16,86
133,2020-07-17,87
134,2020-07-18,87
135,2020-07-19,89
136,2020-07-20,90
137,2020-07-21,92
138,2020-07-22,92
139,2020-07-23,92
140,2020-07-24,92
141,2020-07-25,92
142,2020-07-26,95
143,2020-07-27,99
144,2020-07-28,99
145,2020-07-29,99
146,2020-07-30,101
147,2020-07-31,101
148,2020-08-01,102
149,2020-08-02,102
150,2020-08-03,103
151,2020-08-04,105
152,2020-08-05,105
153,2020-08-06,108
154,2020-08-07,108
